segmento,perfil_cliente,score_valor_atual,score_potencial,score_crescimento,score_risco
EMPRESAS,Crescimento em Valor,0.4824493979698405,0.577822548225959,0.6596134187245469,0.3283520218709075
EMPRESAS,Em Risco,0.4198698745071394,0.4723961628568782,0.3930794356718567,0.7735996214477637
EMPRESAS,Foco em Conversão,0.36708615986504434,0.5770145191435033,0.32726141764986383,0.42823759658919025
EMPRESAS,Top Performance,0.6901847307822628,0.39181974436882827,0.6027499230426819,0.49416035136829
NEGÓCIOS MEI,Crescimento em Valor,0.5449210437779117,0.5440708182804425,0.6512467583715731,0.29189068151129766
NEGÓCIOS MEI,Em Risco,0.5917652385029252,0.4762150679388502,0.5764286795955424,0.7194384028319862
NEGÓCIOS MEI,Foco em Conversão,0.30246122083843097,0.5973744984920847,0.3596403165184669,0.5462842500495079
NEGÓCIOS MEI,Top Performance,0.6783555930126263,0.3044076123512529,0.45855249545259186,0.4904159423081273
NEGÓCIOS PJ,Crescimento em Valor,0.670683189973559,0.43659607139949896,0.6811494634937576,0.40975062032121035
NEGÓCIOS PJ,Em Risco,0.3369355577002724,0.5654200220496598,0.40523786937158657,0.7131237962018808
NEGÓCIOS PJ,Foco em Conversão,0.3646983403110048,0.6164199482850532,0.4910766850426461,0.3313468883269191
NEGÓCIOS PJ,Top Performance,0.6117140894980965,0.37284909766758567,0.37224442607628727,0.6017256422007705
